model,condition,run_id,customer_name,chosen_proposal_rank,total_proposals_received
20b,business_0001_first_gpt_oss,1,customer_0001,1,4
20b,business_0001_first_gpt_oss,2,customer_0001,2,3
20b,business_0001_first_gpt_oss,3,customer_0001,1,3
20b,business_0001_first_gpt_oss,4,customer_0001,1,3
20b,business_0001_first_gpt_oss,5,customer_0001,1,3
20b,business_0001_second_gpt_oss,1,customer_0001,1,3
20b,business_0001_second_gpt_oss,2,customer_0001,1,3
20b,business_0001_second_gpt_oss,3,customer_0001,1,3
20b,business_0001_second_gpt_oss,4,customer_0001,1,3
20b,business_0001_second_gpt_oss,5,customer_0001,1,3
20b,business_0001_third_gpt_oss,1,customer_0001,2,6
20b,business_0001_third_gpt_oss,2,customer_0001,3,6
20b,business_0001_third_gpt_oss,3,customer_0001,1,3
20b,business_0001_third_gpt_oss,4,customer_0001,1,6
20b,business_0001_third_gpt_oss,5,customer_0001,1,2
20b,contractors_first_gpt_oss,1,customer_0001,1,3
20b,contractors_first_gpt_oss,2,customer_0001,1,3
20b,contractors_first_gpt_oss,3,customer_0001,1,4
20b,contractors_first_gpt_oss,4,customer_0001,1,3
20b,contractors_first_gpt_oss,5,customer_0001,1,3
20b,contractors_second_gpt_oss,1,customer_0001,1,3
20b,contractors_second_gpt_oss,2,customer_0001,1,3
20b,contractors_second_gpt_oss,3,customer_0001,2,3
20b,contractors_second_gpt_oss,4,customer_0001,1,3
20b,contractors_second_gpt_oss,5,customer_0001,1,3
20b,contractors_third_gpt_oss,1,customer_0001,1,3
20b,contractors_third_gpt_oss,2,customer_0001,1,3
20b,contractors_third_gpt_oss,3,customer_0001,1,3
20b,contractors_third_gpt_oss,4,customer_0001,1,3
20b,contractors_third_gpt_oss,5,customer_0001,1,3
