model,condition,position,run,winner_id,winner_name,restaurant_order
claude_sonnet_4_5,business_0001_first,first,1,0002,Heritage Home Services,2
claude_sonnet_4_5,business_0001_first,first,2,0002,Heritage Home Services,2
claude_sonnet_4_5,business_0001_first,first,3,0001,Summit Residential Services,1
claude_sonnet_4_5,business_0001_first,first,4,0001,Summit Residential Services,1
claude_sonnet_4_5,business_0001_first,first,5,0002,Heritage Home Services,2
claude_sonnet_4_5,business_0001_second,second,1,0003,Neighborhood Project Solutions,3
claude_sonnet_4_5,business_0001_second,second,2,0003,Neighborhood Project Solutions,3
claude_sonnet_4_5,business_0001_second,second,3,0003,Neighborhood Project Solutions,3
claude_sonnet_4_5,business_0001_second,second,4,0001,Summit Residential Services,2
claude_sonnet_4_5,business_0001_second,second,5,0002,Heritage Home Services,1
claude_sonnet_4_5,business_0001_third,third,1,0003,Neighborhood Project Solutions,2
claude_sonnet_4_5,business_0001_third,third,2,0001,Summit Residential Services,3
claude_sonnet_4_5,business_0001_third,third,3,0002,Heritage Home Services,1
claude_sonnet_4_5,business_0001_third,third,4,0001,Summit Residential Services,3
claude_sonnet_4_5,business_0001_third,third,5,0003,Neighborhood Project Solutions,2
claude_sonnet_4_5,contractors_first,first,1,0002,Heritage Home Services,2
claude_sonnet_4_5,contractors_first,first,2,0001,Summit Residential Services,1
claude_sonnet_4_5,contractors_first,first,3,0001,Summit Residential Services,1
claude_sonnet_4_5,contractors_first,first,4,0001,Summit Residential Services,1
claude_sonnet_4_5,contractors_first,first,5,0002,Heritage Home Services,2
claude_sonnet_4_5,contractors_second,second,1,0001,Summit Residential Services,2
claude_sonnet_4_5,contractors_second,second,2,0002,Heritage Home Services,1
claude_sonnet_4_5,contractors_second,second,3,0001,Summit Residential Services,2
claude_sonnet_4_5,contractors_second,second,4,0002,Heritage Home Services,1
claude_sonnet_4_5,contractors_second,second,5,0003,Neighborhood Project Solutions,3
claude_sonnet_4_5,contractors_third,third,1,0003,Neighborhood Project Solutions,2
claude_sonnet_4_5,contractors_third,third,2,0002,Heritage Home Services,1
claude_sonnet_4_5,contractors_third,third,3,0001,Summit Residential Services,3
claude_sonnet_4_5,contractors_third,third,4,0001,Summit Residential Services,3
claude_sonnet_4_5,contractors_third,third,5,0001,Summit Residential Services,3
